hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
95, 1800.00000, 14.3868, 17.236, 12.24, 25.4703, 11.786, 11.9222, 0, 0
96, 0.00000, 11.7086, 18.4345, 10.5869, 21.5465, 10.6663, 14.684, 0, 0
96, 1800.00000, 11.1159, 18.9541, 10.2983, 20.0519, 10.5538, 15.6335, 0, 0
97, 0.00000, 10.8899, 16.0405, 8.78999, 29.4876, 8.01496, 8.83958, 0, 0
97, 1800.00000, 9.14598, 16.2286, 7.45664, 28.7357, 6.86385, 9.46422, 0, 0
98, 0.00000, 7.85489, 14.0662, 7.29521, 25.3873, 6.26558, 15.0638, 0, 0
98, 1800.00000, 7.91941, 14.5492, 7.1709, 25.9496, 6.2481, 13.9856, 0, 0
99, 0.00000, 10.6287, 15.2863, 8.86011, 28.8998, 7.84779, 10.1415, 0, 0
99, 1800.00000, 9.21485, 14.0392, 8.14336, 27.6731, 6.90544, 12.6617, 0, 0
100, 0.00000, 9.24567, 12.6916, 8.78419, 25.9247, 7.16938, 15.9299, 0, 0
100, 1800.00000, 9.7201, 14.9077, 8.56604, 26.7415, 7.53737, 12.794, 0, 0
101, 0.00000, 12.1675, 15.3903, 11.0117, 25.0485, 9.91587, 14.1694, 0, 0
101, 1800.00000, 10.14, 15.0743, 9.85925, 22.4361, 8.87143, 17.1348, 0, 0
102, 0.00000, 11.7785, 11.6909, 12.3438, 22.8456, 9.98783, 20.2359, 0, 0
102, 1800.00000, 20.3453, 14.7133, 17.018, 29.5237, 14.6885, 10.0565, 0, 0
103, 0.00000, 23.7999, 13.7561, 19.3957, 32.1443, 15.8983, 7.95675, 0, 0
103, 1800.00000, 28.134, 13.591, 24.2472, 29.6158, 19.9551, 11.2186, 0, 0
104, 0.00000, 26.6895, 16.4486, 21.4275, 31.2257, 19.1423, 9.14349, 0, 0
104, 1800.00000, 27.971, 16.3005, 22.6434, 31.6008, 19.8839, 9.61165, 0, 0
105, 0.00000, 24.1318, 19.3473, 20.7952, 27.0018, 20.05, 14.5859, 0, 0
105, 1800.00000, 15.34, 23.8363, 13.4325, 29.5018, 13.2494, 19.3084, 0, 0
106, 0.00000, 12.6709, 24.4542, 10.4585, 36.4971, 9.61773, 18.3425, 0, 0
106, 1800.00000, 18.171, 18.6883, 16.3858, 33.9789, 13.2525, 19.1906, 0, 0
107, 0.00000, 13.2975, 19.7156, 13.7808, 34.6781, 10.3825, 29.68, 0, 0
107, 1800.00000, 7.26328, 29.161, 8.78724, 46.0317, 6.06812, 51.1207, 0, 0
108, 0.00000, 7.72017, 28.3201, 9.42141, 46.0093, 6.38763, 51.5664, 0, 0
108, 1800.00000, 11.8852, 15.3701, 14.5873, 33.8431, 9.72056, 39.7052, 0, 0
109, 0.00000, 13.0241, 22.2441, 13.3408, 35.0018, 10.5701, 30.2107, 0, 0
109, 1800.00000, 12.0513, 26.9771, 10.9633, 37.4106, 9.70003, 26.3526, 0, 0
110, 0.00000, 11.0135, 24.8782, 12.1807, 30.668, 10.6188, 33.3975, 0, 0
110, 1800.00000, 11.4668, 17.3466, 15.2385, 21.8998, 12.8618, 34.6837, 0, 0
111, 0.00000, 13.2012, 24.9813, 15.5327, 11.0846, 17.3665, 24.1835, 0, 0
111, 1800.00000, 22.4831, 19.9061, 21.2488, 16.7357, 22.9303, 15.6842, 0, 0
112, 0.00000, 27.8754, 15.4278, 25.8407, 19.677, 25.1859, 13.4604, 0, 0
112, 1800.00000, 25.6899, 17.6514, 26.4265, 12.7345, 27.9729, 16.4581, 0, 0
113, 0.00000, 32.3462, 8.83429, 38.2383, 9.79856, 35.137, 17.7211, 0, 0
113, 1800.00000, 48.2792, 11.1046, 48.926, 15.5564, 45.3051, 14.0742, 0, 0
114, 0.00000, 53.0418, 13.2221, 49.5544, 17.0799, 48.3977, 11.5123, 0, 0
114, 1800.00000, 50.697, 13.8852, 48.7329, 15.7033, 48.3841, 12.7635, 0, 0
115, 0.00000, 47.9847, 8.32952, 49.8475, 17.0851, 42.3474, 15.0238, 0, 0
115, 1800.00000, 38.1217, 12.3408, 39.4645, 13.7586, 37.9743, 14.8247, 0, 0
116, 0.00000, 36.9327, 12.9845, 35.4899, 18.4315, 33.2242, 13.5083, 0, 0
116, 1800.00000, 41.647, 9.8588, 37.902, 23.742, 31.3723, 10.5318, 0, 0
117, 0.00000, 42.9206, 11.4946, 38.4912, 21.44, 34.6991, 9.84599, 0, 0
117, 1800.00000, 37.3361, 8.78412, 33.472, 23.432, 27.5514, 8.70711, 0, 0
118, 0.00000, 32.3892, 9.08926, 29.5113, 21.3786, 25.1865, 9.26059, 0, 0
118, 1800.00000, 35.5483, 10.6648, 29.2157, 23.6423, 26.5044, 4.512, 0, 0
119, 0.00000, 31.7918, 5.78047, 28.2929, 24.3243, 21.5333, 6.35357, 0, 0
119, 1800.00000, 26.2349, 7.29135, 24.3079, 21.2019, 19.8734, 9.15439, 0, 0
120, 0.00000, 20.438, 11.4217, 17.3551, 24.0876, 15.4387, 7.2263, 0, 0
120, 1800.00000, 17.2447, 17.2246, 13.6067, 21.8862, 14.6895, 6.87839, 0, 0
121, 0.00000, 11.2621, 11.6716, 9.96445, 23.756, 8.70248, 9.88846, 0, 0
121, 1800.00000, 8.31276, 14.068, 7.72335, 24.8767, 6.69677, 14.8875, 0, 0
122, 0.00000, 7.73552, 15.5515, 7.12697, 24.0551, 6.48044, 14.9545, 0, 0
122, 1800.00000, 8.44255, 15.9904, 7.17373, 27.0579, 6.57113, 11.404, 0, 0
123, 0.00000, 7.60739, 15.9096, 6.7126, 25.472, 6.15572, 13.1366, 0, 0
123, 1800.00000, 7.77783, 15.9821, 7.10987, 23.8919, 6.56507, 14.6947, 0, 0
124, 0.00000, 8.56148, 16.4755, 8.22165, 21.4131, 7.76404, 16.7222, 0, 0
124, 1800.00000, 8.33741, 14.4953, 7.56874, 25.9095, 6.5822, 14.0972, 0, 0
125, 0.00000, 9.01511, 14.8357, 9.02814, 21.5375, 8.0933, 18.2741, 0, 0
125, 1800.00000, 12.2175, 14.8548, 11.9186, 22.54, 10.6447, 17.2598, 0, 0
126, 0.00000, 13.3419, 15.6251, 12.4042, 23.6302, 11.3187, 15.3624, 0, 0
126, 1800.00000, 17.9345, 16.5244, 16.3842, 23.3667, 15.4212, 14.7917, 0, 0
127, 0.00000, 25.8021, 16.7646, 20.5272, 29.2124, 19.3057, 8.51012, 0, 0
127, 1800.00000, 25.6325, 16.8971, 21.1737, 27.3173, 20.0505, 10.4623, 0, 0
128, 0.00000, 21.1162, 14.8003, 18.2392, 28.2958, 15.7678, 11.9084, 0, 0
128, 1800.00000, 23.7936, 16.4377, 20.2456, 28.4554, 18.2072, 12.1991, 0, 0
129, 0.00000, 23.232, 18.1113, 20.8878, 25.9929, 19.5027, 15.8586, 0, 0
129, 1800.00000, 15.7809, 21.6506, 16.959, 20.1648, 16.765, 24.3719, 0, 0
130, 0.00000, 10.291, 30.962, 11.1385, 30.0339, 10.8885, 34.3472, 0, 0
130, 1800.00000, 8.87017, 22.1281, 11.7458, 38.6192, 8.09502, 49.6643, 0, 0
131, 0.00000, 11.699, 25.9996, 11.7691, 38.8426, 9.38939, 32.8245, 0, 0
131, 1800.00000, 12.3306, 23.7924, 11.6825, 33.4474, 10.2326, 25.3397, 0, 0
132, 0.00000, 5.80919, 55.6058, 5.4913, 33.5607, 7.4201, 42.7251, 0, 0
132, 1800.00000, 3.6347, 98.8764, 6.12657, 12.6654, 9.36457, 60.2054, 0, 0
133, 0.00000, 4.25309, 40.7319, 7.52939, 30.6869, 7.27346, 57.3629, 0, 0
133, 1800.00000, 0.950934, 149.838, 7.48, 25.3257, 8.42654, 85.8537, 0, 0
134, 0.00000, 3.25305, -0.236849, 11.009, 25.9424, 8.50097, 73.6793, 0, 0
134, 1800.00000, 10.7217, -0.413628, 17.3595, 23.1065, 10.8166, 47.0487, 0, 0
