hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
129, 0.00000, 24.8712, 28.656, 16.334, 23.5848, 23.3135, 8.10102, 0, 0
129, 1800.00000, 16.2682, 26.361, 15.6039, 18.9432, 17.6959, 20.8528, 0, 0
130, 0.00000, 10.6854, 43.4113, 9.15629, 23.3731, 12.8114, 28.1329, 0, 0
130, 1800.00000, 9.62532, 41.7353, 8.54807, 35.1855, 10.0115, 33.2919, 0, 0
131, 0.00000, 13.8772, 38.1344, 8.50095, 44.8566, 11.13, 15.8915, 0, 0
131, 1800.00000, 14.761, 31.1377, 9.26275, 42.5126, 11.0938, 9.9534, 0, 0
132, 0.00000, 8.02678, 59.7014, 3.52633, 48.2347, 7.67384, 25.5176, 0, 0
132, 1800.00000, 4.10149, 90.3808, 5.46994, 16.5601, 8.81813, 56.9561, 0, 0
133, 0.00000, 5.57344, 48.1412, 6.16176, 35.7222, 6.9479, 45.8481, 0, 0
133, 1800.00000, 0.716772, 37.5971, 7.51726, 36.143, 7.2018, 91.1499, 0, 0
134, 0.00000, 4.73981, 12.0761, 9.94901, 33.8243, 6.88392, 68.6209, 0, 0
134, 1800.00000, 13.7702, 9.58325, 14.8547, 33.1191, 9.01812, 27.9488, 0, 0
135, 0.00000, 15.1522, 15.2778, 13.6841, 33.932, 10.2768, 16.9409, 0, 0
135, 1800.00000, 23.5146, 11.8504, 20.0694, 32.9686, 14.8773, 9.82303, 0, 0
136, 0.00000, 28.8956, 17.0422, 25.9994, 17.1514, 27.5233, 11.8574, 0, 0
136, 1800.00000, 31.5416, 20.2101, 21.0629, 23.375, 26.7009, 1.56816, 0, 0
137, 0.00000, 48.824, 19.8266, 28.7497, 25.3197, 39.8239, -4.11651, 0, 0
