hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
101, 0.00000, 10.9885, 18.2181, 10.9906, 18.2536, 10.9836, 18.2456, 0, 0
101, 1800.00000, 9.60623, 18.2234, 9.60623, 18.2235, 9.60622, 18.2235, 0, 0
102, 0.00000, 11.3194, 18.2168, 11.3215, 18.2511, 11.3146, 18.2431, 0, 0
102, 1800.00000, 17.1372, 18.2331, 17.1443, 18.2386, 17.1393, 18.2565, 0, 0
103, 0.00000, 19.3136, 18.2368, 19.3136, 18.2368, 19.3136, 18.2369, 0, 0
103, 1800.00000, 23.7653, 18.3296, 23.79, 18.2733, 23.7978, 18.353, 0, 0
104, 0.00000, 21.896, 18.8361, 22.2397, 18.8417, 22.0674, 19.6129, 0, 0
104, 1800.00000, 23.3638, 18.1874, 23.4082, 20.4442, 22.5848, 19.4188, 0, 0
105, 0.00000, 22.1815, 19.2046, 21.6054, 22.4036, 20.8349, 19.4139, 0, 0
105, 1800.00000, 13.9965, 24.1413, 13.9592, 24.4085, 13.9215, 24.1419, 0, 0
106, 0.00000, 10.6911, 23.8463, 11.3139, 27.1845, 10.4571, 28.5257, 0, 0
106, 1800.00000, 15.2495, 21.702, 16.6051, 23.5382, 15.5274, 27.0024, 0, 0
107, 0.00000, 11.1942, 23.7966, 13.7364, 25.2737, 12.3844, 34.8603, 0, 0
107, 1800.00000, 5.33843, 37.3163, 8.75096, 32.2031, 8.10778, 55.5472, 0, 0
108, 0.00000, 6.12688, 32.0589, 9.51749, 36.0087, 7.93587, 56.2056, 0, 0
108, 1800.00000, 10.4594, 19.0602, 14.2855, 27.6793, 11.2664, 41.2103, 0, 0
109, 0.00000, 10.2052, 31.2853, 13.0887, 20.5333, 13.6852, 35.8019, 0, 0
109, 1800.00000, 10.26, 33.3554, 10.7192, 25.9994, 11.6385, 31.5559, 0, 0
110, 0.00000, 9.90987, 27.4825, 12.2808, 25.0956, 11.6688, 36.304, 0, 0
110, 1800.00000, 10.914, 16.8171, 15.5684, 20.2436, 13.1986, 36.6369, 0, 0
111, 0.00000, 12.4078, 22.2622, 16.5226, 10.471, 17.2796, 27.4855, 0, 0
111, 1800.00000, 20.0242, 20.4322, 22.576, 11.1908, 24.2857, 20.7633, 0, 0
112, 0.00000, 24.6156, 16.7646, 26.9418, 12.8594, 27.3495, 18.948, 0, 0
112, 1800.00000, 24.9886, 19.9867, 26.0216, 10.1639, 29.1984, 16.7218, 0, 0
113, 0.00000, 30.9918, 13.8522, 36.6543, 5.76414, 38.1368, 16.8639, 0, 0
113, 1800.00000, 46.4503, 13.374, 48.0789, 12.6597, 47.7872, 14.7031, 0, 0
114, 0.00000, 49.7824, 16.663, 48.5008, 12.0214, 52.5559, 13.1409, 0, 0
114, 1800.00000, 47.5018, 15.828, 48.9285, 11.5288, 51.3145, 15.0145, 0, 0
115, 0.00000, 44.5292, 12.0152, 48.502, 12.101, 46.568, 16.3059, 0, 0
115, 1800.00000, 35.8991, 14.4547, 39.4208, 10.02, 40.2501, 16.4767, 0, 0
116, 0.00000, 34.608, 13.6278, 36.0828, 14.9308, 34.668, 16.4118, 0, 0
116, 1800.00000, 38.3863, 12.8455, 36.92, 18.1782, 34.6128, 13.3678, 0, 0
117, 0.00000, 41.187, 13.1317, 37.9453, 18.4752, 36.4585, 11.2808, 0, 0
117, 1800.00000, 34.8436, 11.9792, 32.2708, 18.3781, 30.3596, 10.8512, 0, 0
118, 0.00000, 31.0597, 11.1614, 28.8184, 18.277, 26.7484, 10.4282, 0, 0
118, 1800.00000, 32.8433, 11.8913, 29.3508, 18.373, 28.1882, 8.7871, 0, 0
119, 0.00000, 29.3311, 7.27922, 28.0365, 19.2656, 23.3787, 10.4009, 0, 0
119, 1800.00000, 25.5825, 6.56423, 24.7779, 20.0124, 19.9211, 11.1917, 0, 0
120, 0.00000, 19.3408, 9.40571, 18.3191, 21.5126, 15.3184, 11.9818, 0, 0
120, 1800.00000, 16.3238, 14.2128, 14.766, 20.0893, 14.2151, 11.5533, 0, 0
121, 0.00000, 10.6101, 10.3573, 10.4008, 20.7855, 8.81144, 14.3445, 0, 0
121, 1800.00000, 7.56556, 17.244, 7.6173, 18.4862, 7.44862, 18.2128, 0, 0
122, 0.00000, 7.09112, 18.2098, 7.09114, 18.2108, 7.09102, 18.2104, 0, 0
122, 1800.00000, 7.34299, 18.2103, 7.34299, 18.2103, 7.34299, 18.2103, 0, 0
123, 0.00000, 6.79192, 18.2103, 6.79192, 18.2103, 6.79192, 18.2103, 0, 0
123, 1800.00000, 7.12887, 18.2101, 7.12887, 18.2101, 7.12887, 18.2101, 0, 0
124, 0.00000, 8.17116, 18.2092, 8.17116, 18.2092, 8.17116, 18.2092, 0, 0
124, 1800.00000, 7.45239, 18.1991, 7.45928, 18.2105, 7.45455, 18.2507, 0, 0
125, 0.00000, 8.70061, 18.2179, 8.70062, 18.218, 8.70061, 18.218, 0, 0
125, 1800.00000, 11.5719, 18.2273, 11.5719, 18.2273, 11.5719, 18.2273, 0, 0
126, 0.00000, 12.3202, 18.227, 12.3202, 18.227, 12.3202, 18.227, 0, 0
126, 1800.00000, 16.5316, 18.2318, 16.5337, 18.2558, 16.5267, 18.2503, 0, 0
127, 0.00000, 21.5915, 18.2464, 21.5915, 18.2464, 21.5915, 18.2464, 0, 0
127, 1800.00000, 22.0867, 18.2829, 22.0722, 18.3053, 22.072, 18.2616, 0, 0
128, 0.00000, 18.1312, 18.2992, 18.2642, 18.3519, 18.1834, 18.6891, 0, 0
128, 1800.00000, 20.2939, 18.8252, 20.7877, 18.6158, 20.6093, 19.9091, 0, 0
129, 0.00000, 20.6059, 19.9663, 21.3999, 18.8495, 21.3656, 21.2421, 0, 0
129, 1800.00000, 15.0083, 22.6091, 17.1698, 17.5217, 17.4017, 26.0753, 0, 0
130, 0.00000, 8.96501, 31.5228, 11.8102, 24.2652, 11.7441, 39.5351, 0, 0
130, 1800.00000, 7.0005, 23.4237, 12.163, 29.9131, 9.77993, 54.8109, 0, 0
131, 0.00000, 10.0636, 32.1561, 11.3915, 29.1478, 11.2673, 36.4213, 0, 0
131, 1800.00000, 11.3124, 30.4698, 10.9256, 25.6785, 11.9184, 26.499, 0, 0
132, 0.00000, 5.62084, 68.4814, 5.13884, 19.9536, 8.7364, 42.361, 0, 0
132, 1800.00000, 3.99749, 102.306, 5.94015, 8.97199, 9.67648, 58.2901, 0, 0
133, 0.00000, 3.9115, 51.7371, 7.2713, 24.366, 8.09493, 55.52, 0, 0
133, 1800.00000, 1.51973, 122.614, 6.65947, 24.9519, 8.08378, 80.8704, 0, 0
134, 0.00000, 2.75998, 17.0373, 10.2335, 22.2981, 8.92735, 67.7062, 0, 0
134, 1800.00000, 9.40368, 9.69386, 15.8995, 17.4142, 12.5771, 41.1983, 0, 0
135, 0.00000, 11.4187, 14.7757, 14.9173, 20.0225, 12.5003, 31.8046, 0, 0
135, 1800.00000, 19.9869, 10.5303, 21.1927, 24.1727, 16.2493, 21.2927, 0, 0
136, 0.00000, 26.5317, 12.9518, 28.7835, 14.9752, 26.8762, 18.1763, 0, 0
136, 1800.00000, 25.732, 15.3395, 25.8048, 14.2436, 26.1934, 14.9265, 0, 0
137, 0.00000, 41.0139, 16.9736, 33.7404, 15.599, 38.6819, 6.95599, 0, 0
