hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
99, 0.00000, 11.7839, 29.0244, 5.97303, 28.5698, 10.2572, -0.534919, 0, 0
99, 1800.00000, 10.4452, 25.5711, 5.88016, 31.3209, 8.48325, -0.187528, 0, 0
100, 0.00000, 10.7616, 21.2991, 6.90754, 33.0534, 8.03561, 1.20599, 0, 0
100, 1800.00000, 10.7809, 25.8159, 6.38072, 28.2326, 9.12402, 2.00552, 0, 0
101, 0.00000, 13.2787, 24.3144, 8.77682, 26.0446, 11.4397, 5.05821, 0, 0
101, 1800.00000, 11.0961, 19.9425, 8.65997, 25.5782, 9.28382, 9.25644, 0, 0
102, 0.00000, 14.0456, 15.3496, 10.9408, 32.3826, 9.6006, 6.35613, 0, 0
102, 1800.00000, 22.95, 28.8205, 11.25, 30.7595, 19.5132, -1.87916, 0, 0
103, 0.00000, 27.7517, 30.16, 11.4531, 36.4343, 22.9461, -6.10074, 0, 0
103, 1800.00000, 32.6322, 27.1737, 16.2788, 34.2615, 26.2877, -3.19693, 0, 0
104, 0.00000, 29.6918, 32.6904, 13.2438, 27.9356, 26.8913, -0.863001, 0, 0
104, 1800.00000, 28.5585, 33.6141, 13.5901, 27.9886, 26.1005, 1.91851, 0, 0
105, 0.00000, 21.3623, 31.0808, 16.0277, 21.4548, 21.7957, 14.6468, 0, 0
105, 1800.00000, 15.6511, 32.3147, 11.3247, 25.2189, 15.341, 15.1517, 0, 0
106, 0.00000, 12.9569, 39.7465, 7.39556, 26.7393, 12.9094, 12.9553, 0, 0
106, 1800.00000, 20.2287, 33.2011, 11.1854, 34.0187, 17.4034, 6.70712, 0, 0
107, 0.00000, 15.1116, 33.7626, 9.90256, 36.7357, 12.7933, 14.2635, 0, 0
107, 1800.00000, 9.20985, 50.9906, 5.18106, 51.4181, 7.95997, 25.1269, 0, 0
108, 0.00000, 8.6137, 56.9144, 5.06797, 51.6512, 7.96003, 32.2324, 0, 0
108, 1800.00000, 12.1324, 35.0762, 9.53543, 40.7869, 10.1547, 24.7687, 0, 0
109, 0.00000, 15.7032, 40.588, 7.45468, 59.2419, 11.2513, 6.5566, 0, 0
109, 1800.00000, 11.6212, 42.0034, 7.28425, 45.7917, 9.69626, 20.6405, 0, 0
110, 0.00000, 11.1831, 34.6676, 10.0571, 30.1571, 11.3759, 27.6036, 0, 0
110, 1800.00000, 10.127, 32.077, 11.1132, 24.8409, 11.7867, 32.453, 0, 0
111, 0.00000, 11.3453, 33.1951, 11.5627, 16.4223, 14.2235, 25.4841, 0, 0
111, 1800.00000, 20.9192, 31.2934, 14.0562, 21.5249, 20.7877, 10.6626, 0, 0
112, 0.00000, 26.2349, 29.8255, 15.5364, 24.8608, 24.1973, 5.39797, 0, 0
112, 1800.00000, 24.5796, 18.8786, 21.0464, 24.1655, 21.2082, 13.0101, 0, 0
113, 0.00000, 28.7805, 15.8924, 21.8321, 32.9731, 19.6329, 5.20497, 0, 0
113, 1800.00000, 39.5035, 19.1939, 31.8354, 25.2947, 33.0728, 10.3051, 0, 0
114, 0.00000, 46.0433, 20.7996, 32.4477, 29.0449, 36.426, 5.2669, 0, 0
114, 1800.00000, 43.6082, 22.7785, 31.7377, 24.4391, 38.1959, 7.82429, 0, 0
115, 0.00000, 42.175, 20.4337, 29.0352, 30.7524, 32.249, 3.86185, 0, 0
115, 1800.00000, 33.0709, 21.7301, 24.6458, 24.9455, 28.4491, 8.21222, 0, 0
