hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
91, 1800.00000, 38.8626, 19.2067, 27.4853, 31.4425, 28.8431, 4.16239, 0, 0
92, 0.00000, 36.1817, 20.4557, 27.3082, 26.2895, 29.9924, 8.07938, 0, 0
92, 1800.00000, 34.6495, 21.0654, 24.004, 29.3726, 27.3358, 4.67503, 0, 0
93, 0.00000, 29.9375, 25.0279, 22.8861, 19.2541, 29.2994, 10.4487, 0, 0
93, 1800.00000, 31.9545, 24.2452, 24.2849, 20.5565, 30.395, 9.99121, 0, 0
94, 0.00000, 24.3559, 23.85, 20.1561, 18.1332, 24.4123, 12.6611, 0, 0
94, 1800.00000, 21.4415, 22.892, 14.9058, 26.2058, 18.1997, 6.10296, 0, 0
95, 0.00000, 17.554, 25.7936, 11.0508, 25.5268, 15.4298, 4.25747, 0, 0
95, 1800.00000, 15.0526, 28.1506, 9.50235, 21.1634, 14.3242, 5.78, 0, 0
96, 0.00000, 11.7146, 24.6947, 9.52376, 17.594, 11.8802, 12.292, 0, 0
96, 1800.00000, 10.9092, 23.1896, 9.73907, 16.4806, 11.3952, 14.9064, 0, 0
97, 0.00000, 11.9162, 30.9536, 5.71574, 26.3402, 10.7871, -0.446806, 0, 0
97, 1800.00000, 9.93994, 30.3594, 5.02639, 25.4672, 9.03996, 0.589292, 0, 0
98, 0.00000, 8.84711, 22.6636, 5.7791, 29.4977, 7.09897, 3.33477, 0, 0
98, 1800.00000, 8.83222, 24.198, 5.5322, 28.6964, 7.30033, 2.85461, 0, 0
99, 0.00000, 11.7839, 29.0244, 5.97303, 28.5698, 10.2572, -0.534919, 0, 0
99, 1800.00000, 10.4452, 25.5711, 5.88016, 31.3209, 8.48325, -0.187528, 0, 0
100, 0.00000, 10.7686, 21.3052, 6.9075, 33.0536, 8.04172, 1.17987, 0, 0
100, 1800.00000, 10.7809, 25.8159, 6.38072, 28.2326, 9.12402, 2.00552, 0, 0
101, 0.00000, 13.2858, 24.318, 8.78069, 26.0065, 11.452, 5.0529, 0, 0
101, 1800.00000, 11.0961, 19.9425, 8.65997, 25.5782, 9.28383, 9.25644, 0, 0
102, 0.00000, 14.0523, 15.3571, 10.944, 32.3501, 9.61267, 6.34851, 0, 0
102, 1800.00000, 22.9575, 28.8214, 11.2499, 30.7596, 19.5199, -1.8893, 0, 0
103, 0.00000, 27.7517, 30.16, 11.4531, 36.4343, 22.9461, -6.10074, 0, 0
103, 1800.00000, 32.7478, 27.081, 16.3643, 34.1364, 26.3865, -3.22709, 0, 0
104, 0.00000, 30.8726, 31.7301, 14.0557, 26.4528, 28.0973, -1.2491, 0, 0
104, 1800.00000, 31.7157, 30.98, 15.7817, 24.572, 29.2589, 0.597682, 0, 0
105, 0.00000, 26.0572, 25.8254, 20.2106, 17.6482, 26.3879, 11.1333, 0, 0
105, 1800.00000, 19.8708, 25.1357, 15.7796, 17.8073, 20.0572, 11.6758, 0, 0
106, 0.00000, 17.4107, 30.6611, 11.6584, 14.9847, 18.4062, 8.50305, 0, 0
106, 1800.00000, 25.5459, 28.0297, 14.9997, 24.1777, 23.2518, 3.41836, 0, 0
107, 0.00000, 22.4953, 25.8848, 14.5711, 24.1469, 20.2094, 5.31686, 0, 0
107, 1800.00000, 18.8462, 28.3441, 11.5149, 21.9979, 17.7182, 4.87554, 0, 0
108, 0.00000, 18.757, 26.8556, 13.2841, 19.1955, 18.4144, 8.70645, 0, 0
108, 1800.00000, 21.605, 22.749, 16.0576, 23.5942, 19.2147, 8.61149, 0, 0
109, 0.00000, 25.2437, 27.1802, 13.492, 30.328, 21.1576, -0.534269, 0, 0
109, 1800.00000, 21.4412, 25.3608, 13.7701, 25.4022, 18.8187, 4.67563, 0, 0
110, 0.00000, 19.8123, 23.1715, 15.6595, 20.5773, 18.7707, 10.9604, 0, 0
110, 1800.00000, 18.0718, 21.5827, 16.5199, 17.5665, 18.3833, 15.4602, 0, 0
111, 0.00000, 16.45, 25.0778, 15.348, 13.1056, 18.7043, 16.3434, 0, 0
